26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:56:34 - INFO - LOG: Uttar Pradesh,Balrampur - UP47( 11-DEC-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:56:36 - INFO - LOG: Karnataka,BIJAPUR  RTO - KA28( 29-SEP-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:56:48 - INFO - LOG: Uttar Pradesh,Balrampur - UP47( 11-DEC-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:56:50 - INFO - LOG: Karnataka,BIJAPUR  RTO - KA28( 29-SEP-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:57:01 - INFO - LOG: Uttar Pradesh,Balrampur - UP47( 11-DEC-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:57:03 - INFO - LOG: Karnataka,BIJAPUR  RTO - KA28( 29-SEP-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:57:15 - INFO - LOG: Uttar Pradesh,Balrampur - UP47( 11-DEC-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:57:23 - INFO - LOG: Karnataka,CHAMARAJANAGAR  RTO - KA10( 23-JUL-2018 ), No Records Found for year 2025
26:05:2025-18:57:28 - INFO - LOG: Uttar Pradesh,Balrampur - UP47( 11-DEC-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:57:49 - INFO - LOG: Karnataka,CHANDAPURA, BENGALURU RTO - KA59( 08-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:57:58 - INFO - LOG: Uttar Pradesh,BANDARTO - UP90( 22-FEB-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:58:00 - INFO - LOG: Karnataka,CHANDAPURA, BENGALURU RTO - KA59( 08-FEB-2018 ), No Records Found for year 2025
26:05:2025-18:58:07 - INFO - LOG: Karnataka,CHANDAPURA, BENGALURU RTO - KA59( 08-FEB-2018 ), No Records Found for year 2025
26:05:2025-18:58:12 - INFO - LOG: Uttar Pradesh,BANDARTO - UP90( 22-FEB-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:58:17 - INFO - LOG: Karnataka,CHANDAPURA, BENGALURU RTO - KA59( 08-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:58:25 - INFO - LOG: Uttar Pradesh,BANDARTO - UP90( 22-FEB-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:58:28 - INFO - LOG: Karnataka,CHANDAPURA, BENGALURU RTO - KA59( 08-FEB-2018 ), No Records Found for year 2025
26:05:2025-18:58:39 - INFO - LOG: Uttar Pradesh,BANDARTO - UP90( 22-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:58:52 - INFO - LOG: Uttar Pradesh,BANDARTO - UP90( 22-FEB-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:58:54 - INFO - LOG: Karnataka,CHICKABALLAPUR  RTO - KA40( 27-JUN-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:59:08 - INFO - LOG: Karnataka,CHICKABALLAPUR  RTO - KA40( 27-JUN-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:59:21 - INFO - LOG: Karnataka,CHICKABALLAPUR  RTO - KA40( 27-JUN-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:59:22 - INFO - LOG: Uttar Pradesh,Barabanki ARTO - UP41( 12-JAN-2016 ),2025,JAN Was successfully downloaded
26:05:2025-18:59:32 - INFO - LOG: Karnataka,CHICKABALLAPUR  RTO - KA40( 27-JUN-2018 ), No Records Found for year 2025
26:05:2025-18:59:36 - INFO - LOG: Uttar Pradesh,Barabanki ARTO - UP41( 12-JAN-2016 ),2025,FEB Was successfully downloaded
26:05:2025-18:59:39 - INFO - LOG: Karnataka,CHICKABALLAPUR  RTO - KA40( 27-JUN-2018 ), No Records Found for year 2025
26:05:2025-18:59:49 - INFO - LOG: Uttar Pradesh,Barabanki ARTO - UP41( 12-JAN-2016 ),2025,MAR Was successfully downloaded
26:05:2025-19:00:03 - INFO - LOG: Uttar Pradesh,Barabanki ARTO - UP41( 12-JAN-2016 ),2025,APR Was successfully downloaded
26:05:2025-19:00:06 - INFO - LOG: Karnataka,CHIKAMANGLUR RTO - KA18( 12-JUN-2018 ),2025,JAN Was successfully downloaded
26:05:2025-19:00:16 - INFO - LOG: Uttar Pradesh,Barabanki ARTO - UP41( 12-JAN-2016 ),2025,MAY Was successfully downloaded
26:05:2025-19:00:19 - INFO - LOG: Karnataka,CHIKAMANGLUR RTO - KA18( 12-JUN-2018 ),2025,FEB Was successfully downloaded
26:05:2025-19:00:33 - INFO - LOG: Karnataka,CHIKAMANGLUR RTO - KA18( 12-JUN-2018 ),2025,MAR Was successfully downloaded
